VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2020-06-01 00:17:18,2020-06-01 00:40:23,2,13.12,1,N,137,182,1,36.5,0.5,0.5,0,0,0.3,40.3,2.5
2,2020-06-01 00:41:59,2020-06-01 00:52:39,1,4.06,1,N,182,32,1,13.5,0.5,0.5,2.96,0,0.3,17.76,0
2,2020-06-01 00:08:40,2020-06-01 00:30:41,2,6.38,1,N,232,85,1,21.5,0.5,0.5,5.06,0,0.3,32.31,2.5
2,2020-06-01 00:43:07,2020-06-01 00:53:14,1,2.23,1,N,137,148,1,10,0.5,0.5,4.14,0,0.3,17.94,2.5
1,2020-06-01 00:08:19,2020-06-01 00:15:08,1,1.70,1,N,100,68,1,7.5,3,0.5,4,0,0.3,15.3,2.5
1,2020-06-01 00:32:39,2020-06-01 00:42:42,1,2.80,1,N,163,68,1,10.5,3,0.5,2.85,0,0.3,17.15,2.5
2,2020-06-01 00:36:07,2020-06-01 00:46:00,2,2.03,1,N,97,17,2,9,0.5,0.5,0,0,0.3,10.3,0
2,2020-06-01 00:41:14,2020-06-01 00:42:33,1,.61,1,N,107,137,1,4,0.5,0.5,1,0,0.3,8.8,2.5
2,2020-06-01 00:20:52,2020-06-01 00:48:10,1,13.98,1,N,260,254,1,40,0.5,0.5,12.39,0,0.3,53.69,0
2,2020-06-01 00:10:22,2020-06-01 00:15:55,1,1.43,1,N,164,90,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2020-06-01 00:00:31,2020-06-01 00:31:43,1,12.59,1,N,132,189,2,37,0.5,0.5,0,0,0.3,38.3,0
1,2020-06-01 00:22:35,2020-06-01 00:25:12,1,.50,1,N,163,230,2,4,3,0.5,0,0,0.3,7.8,2.5
1,2020-06-01 00:35:20,2020-06-01 00:38:32,1,.50,1,N,48,50,2,4.5,3,0.5,0,0,0.3,8.3,2.5
1,2020-06-01 00:48:52,2020-06-01 00:58:29,1,2.20,1,N,48,141,1,9.5,3,0.5,3.3,0,0.3,16.6,2.5
2,2020-06-01 00:19:17,2020-06-01 00:27:40,1,4.37,1,N,74,244,2,14,0.5,0.5,0,0,0.3,15.3,0
2,2020-06-01 00:06:06,2020-06-01 00:10:45,1,1.26,1,N,148,79,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2020-06-01 00:12:39,2020-06-01 00:15:12,1,1.02,1,N,107,170,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
1,2020-06-01 00:21:51,2020-06-01 00:25:24,1,1.10,1,N,48,142,2,5.5,3,0.5,0,0,0.3,9.3,2.5
1,2020-06-01 00:56:00,2020-06-01 01:26:44,1,.00,1,N,75,203,1,46.2,0,0.5,0,6.12,0.3,53.12,0
2,2020-05-31 17:00:08,2020-06-01 16:18:45,1,9.02,1,N,249,69,2,27,0.5,0.5,0,0,0.3,30.8,2.5
2,2020-06-01 00:27:07,2020-06-01 00:34:14,1,2.74,1,N,244,42,2,10,0.5,0.5,0,0,0.3,11.3,0
1,2020-06-01 00:29:31,2020-06-01 00:48:47,1,9.00,1,N,166,148,2,27,3,0.5,0,0,0.3,30.8,2.5
2,2020-06-01 00:06:27,2020-06-01 00:36:26,1,18.19,2,N,132,142,1,52,0,0.5,10,0,0.3,65.3,2.5
2,2020-06-01 00:47:28,2020-06-01 00:52:22,1,.71,1,N,100,186,2,5,0.5,0.5,0,0,0.3,8.8,2.5
2,2020-06-01 00:13:46,2020-06-01 00:25:29,1,7.21,1,N,132,134,2,21,0.5,0.5,0,0,0.3,22.3,0
1,2020-06-01 00:15:49,2020-06-01 00:22:14,2,1.50,1,N,263,140,1,7,3,0.5,2.15,0,0.3,12.95,2.5
2,2020-06-01 00:06:46,2020-06-01 00:20:22,1,6.44,1,N,137,168,1,20,0.5,0.5,3,0,0.3,26.8,2.5
2,2020-06-01 00:46:55,2020-06-01 00:53:12,1,2.12,1,N,137,140,1,8,0.5,0.5,2.36,0,0.3,14.16,2.5
2,2020-06-01 00:07:59,2020-06-01 00:15:44,1,1.88,1,N,45,234,2,8.5,0.5,0.5,0,0,0.3,12.3,2.5
2,2020-05-31 23:59:50,2020-06-01 00:04:46,1,.78,1,N,100,233,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,2020-06-01 00:43:38,2020-06-01 01:22:47,1,12.90,1,N,161,85,1,39,0.5,0.5,2,0,0.3,44.8,2.5
1,2020-06-01 00:46:26,2020-06-01 00:58:57,1,3.00,1,N,163,79,1,12,3,0.5,1,0,0.3,16.8,2.5
1,2020-06-01 00:14:47,2020-06-01 00:25:25,1,3.10,1,N,114,209,1,11.5,3,0.5,3.05,0,0.3,18.35,2.5
1,2020-06-01 00:27:55,2020-06-01 00:49:52,1,7.90,1,N,209,238,1,24,3,0.5,2.78,0,0.3,30.58,2.5
2,2020-06-01 00:05:23,2020-06-01 00:29:05,1,15.80,1,N,132,255,1,42,0.5,0.5,8.66,0,0.3,51.96,0
2,2020-06-01 00:42:52,2020-06-01 01:01:10,1,5.63,1,N,80,170,1,19,0.5,0.5,2.28,0,0.3,25.08,2.5
1,2020-06-01 00:34:57,2020-06-01 00:55:13,1,5.30,1,N,231,37,1,20,3,0.5,4.75,0,0.3,28.55,2.5
2,2020-05-31 23:45:47,2020-06-01 00:10:53,1,11.66,1,N,186,14,2,33.5,0.5,0.5,0,0,0.3,37.3,2.5
2,2020-06-01 00:11:57,2020-06-01 00:16:44,1,1.34,1,N,186,50,2,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2020-06-01 00:48:51,2020-06-01 00:56:19,1,.75,1,N,137,234,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2020-06-01 00:41:37,2020-06-01 00:41:54,1,.00,5,N,186,186,3,-2,0,0,0,0,-0.3,-4.8,-2.5
2,2020-06-01 00:41:37,2020-06-01 00:41:54,1,.00,5,N,186,68,2,2,0,0,0,0,0.3,4.8,2.5
2,2020-06-01 00:06:55,2020-06-01 00:14:22,1,1.82,1,N,42,247,1,8,0.5,0.5,12.17,0,0.3,21.47,0
1,2020-06-01 00:14:27,2020-06-01 00:34:02,1,10.40,1,N,148,56,2,29.5,3,0.5,0,6.12,0.3,39.42,2.5
2,2020-06-01 00:10:25,2020-06-01 00:15:46,2,.97,1,N,137,100,2,6,0.5,0.5,0,0,0.3,9.8,2.5
